Purchasing Document;Item;Req Delivery Date;Delivery Date;Delivery Completed;Requisitioner;Created By;Supplier;Material Group;Terms of Payment
4500046392;10;02.02.2024;03.02.2024;No;K36046;S64912;42473743;C760500;YEM3
4500047974;10;09.02.2024;07.02.2024;No;K36046;S64912;41033903;C903000;YEM3
4500046535;10;26.01.2024;05.01.2024;No;T34643;M89400;42474188;C390505;Y016
4500049013;10;15.02.2024;31.12.2024;No;M86457;B26557;41033925;C211015;YEM3
4500046541;10;30.09.2024;08.01.2024;No;T34643;M89400;42475074;C390505;Y016
4500089934;10;23.05.2025;;Yes;G26261;A70474;41033955;C640600;YEM3
4500089934;20;23.05.2025;;Yes;G26261;A70474;41033955;C640600;YEM3
4500065855;10;17.09.2024;;Yes;G26261;A70474;41033955;C640600;Y000
4500065855;30;17.09.2024;;Yes;G26261;A70474;41033955;C640600;Y000
4500065855;20;17.09.2024;;Yes;G26261;A70474;41033955;C640600;Y000
4500068626;10;07.11.2024;11.11.2024;Yes;M90365;A75293;42008923;C541000;YEM3
4500046753;10;31.01.2024;24.01.2024;No;A72401;B26557;42473253;C551000;Y016
4500068626;20;07.11.2024;11.11.2024;Yes;M90365;A75293;42008923;C541000;YEM3
4500046753;20;30.06.2024;10.06.2024;No;A72401;B26557;42473253;C551000;Y016
4500066619;10;24.09.2024;02.09.2024;No;B26557;A75293;42046748;C750500;YEM3
4500046753;30;30.06.2024;10.06.2024;No;A72401;B26557;42473253;C551000;Y016
4500073892;10;27.11.2024;;No;M85771;A44167;42048466;C681000;YEM3
4500046753;40;20.06.2024;10.06.2024;No;A72401;B26557;42473253;C551000;Y016
4500062729;20;29.05.2024;;No;A72757;M89399;42049922;C541000;YEM3
4500062729;10;05.04.2024;;No;A72757;M89399;42049922;C541000;YEM3
4500062729;30;18.07.2024;17.07.2024;No;A72757;M89399;42049922;C541000;YEM3
4500046756;10;31.12.2024;31.01.2024;No;K37965;B26557;42473941;C541000;Y016
4500062729;40;18.09.2024;17.09.2024;No;A72757;M89399;42049922;C541000;YEM3
4500062729;50;18.11.2024;15.11.2024;No;A72757;M89399;42049922;C541000;YEM3
4500046824;10;31.12.2024;02.04.2024;No;K35530;M89400;42475860;C751500;Y016
4500087698;10;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500046862;10;16.02.2024;20.02.2024;No;G26782;M89399;42475347;C506525;Y016
4500087698;90;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047017;10;08.02.2024;22.03.2024;No;P33685;B26557;42472728;C211015;Y017
4500087698;80;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047046;10;31.01.2024;06.02.2024;No;D39395;S64912;42473842;C613500;Y016
4500087698;70;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047079;10;15.03.2024;11.04.2023;No;G26777;B26557;42475869;C551000;Y016
4500087698;60;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047171;10;31.12.2024;31.01.2024;No;K35790;S64912;42474950;C551000;YEM3
4500087698;50;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047171;130;08.11.2024;31.10.2024;No;K35790;S64912;42474950;C551000;YEM3
4500087698;40;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047171;140;28.02.2025;31.01.2025;No;K35790;S64912;42474950;C551000;YEM3
4500087698;30;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047189;10;09.02.2024;13.02.2024;No;A72401;B26557;42475183;C551000;YEM3
4500087698;20;31.12.2025;23.04.2025;No;A72757;S64912;42049922;C541000;YEM3
4500047189;20;01.02.2024;08.01.2024;No;A72401;B26557;42475183;C551000;YEM3
4500082944;10;31.12.2025;;No;M85771;A44167;42049945;C830500;YEM3
4500047194;10;31.12.2024;31.01.2024;No;K35790;S64912;42474950;C551000;YEM3
4500057177;30;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047194;130;31.12.2024;31.10.2024;No;K35790;S64912;42474950;C551000;YEM3
4500057177;20;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057177;10;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057177;40;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057177;50;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057177;60;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057177;70;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;10;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;20;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;30;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;40;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;50;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047326;10;31.05.2024;29.05.2024;Yes;D40744;M89399;42475888;C551000;YEM3
4500057176;60;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047348;10;05.02.2024;16.01.2024;No;M90365;M89399;42310361;C411010;YEM3
4500057176;70;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047416;10;26.02.2024;02.04.2024;No;P33488;S64912;42471381;C153500;YEM3
4500057176;80;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047419;10;14.02.2024;31.01.2024;No;K38175;S64912;42475635;C642000;YEM3
4500057176;90;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500057176;100;31.12.2024;;No;M85771;A44167;42049945;C830500;YEM3
4500047544;10;01.02.2024;09.01.2024;No;G26777;M89400;42475928;C551000;YEM3
4500063949;110;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047560;10;06.02.2024;25.01.2024;No;K36046;M89400;42331302;C760500;YEM3
4500063949;120;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047589;10;16.02.2024;07.02.2024;No;K38175;S64912;42475685;C540500;YEM3
4500063949;130;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;10;31.12.2024;31.07.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;140;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;20;31.12.2024;30.04.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;150;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;30;31.12.2024;30.04.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;100;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;40;31.12.2024;30.04.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;90;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;50;31.12.2024;31.05.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;80;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;60;31.12.2024;28.06.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;70;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;70;31.12.2024;31.07.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;10;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;80;31.12.2024;31.07.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;20;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;90;31.12.2024;30.08.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;30;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;100;31.12.2024;30.09.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;40;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;130;06.11.2024;31.10.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;50;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;140;31.12.2024;29.11.2024;No;K35790;S64912;42474950;C551000;YEM3
4500063949;60;19.08.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047593;150;31.12.2024;23.12.2024;No;K35790;S64912;42474950;C551000;YEM3
4500054196;10;08.05.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047593;160;31.12.2024;23.12.2024;No;K35790;S64912;42474950;C551000;YEM3
4500054196;20;15.05.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047593;170;28.02.2025;31.01.2025;No;K35790;S64912;42474950;C551000;YEM3
4500060411;30;01.07.2024;;No;T34737;N21846;42049945;C741000;Y017
4500047627;10;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C340615;YEM3
4500060411;10;01.07.2024;;No;T34737;N21846;42049945;C741000;Y017
4500047627;20;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500060411;20;01.07.2024;;No;T34737;N21846;42049945;C741000;Y017
4500047627;30;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500060411;40;01.07.2024;;No;T34737;N21846;42049945;C741000;Y017
4500047627;40;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500063194;20;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047627;50;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500063194;40;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047627;60;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500063194;10;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047627;70;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500063194;30;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047627;80;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500080769;10;12.02.2025;;No;M51710;A44167;42049945;C743500;YEM3
4500047627;90;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500048715;10;22.02.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047627;100;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500048715;20;14.03.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047627;110;12.02.2024;17.01.2024;Yes;M89398;M84478;42474961;C345615;YEM3
4500048715;30;17.04.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047630;10;31.12.2024;01.03.2024;No;K35790;S64912;42474990;C712500;YEM3
4500048715;40;17.05.2024;;No;M51710;A44167;42049945;C741500;YEM3
4500047630;20;31.12.2024;14.05.2024;No;K35790;S64912;42474990;C712500;YEM3
4500055322;10;22.04.2024;06.05.2024;No;A67097;S64912;42049945;C743500;YEM3
4500047630;30;31.12.2024;07.08.2024;No;K35790;S64912;42474990;C712500;YEM3
4500050562;10;04.03.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047630;40;31.12.2024;07.08.2024;No;K35790;S64912;42474990;C712500;YEM3
4500063197;10;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047630;50;31.12.2024;20.02.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063197;20;01.07.2024;;No;T34737;A75293;42049945;C741000;YEM3
4500047630;60;31.12.2024;23.04.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063948;100;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047630;70;31.12.2024;17.06.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063948;110;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047630;80;31.12.2024;17.06.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063948;120;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047630;90;31.12.2024;17.06.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063948;130;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047630;100;31.12.2024;07.08.2024;No;K35790;S64912;42474990;C712500;YEM3
4500063948;140;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047630;110;31.12.2025;17.06.2025;No;K35790;S64912;42474990;C712500;YEM3
4500063948;150;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047646;10;16.02.2024;10.01.2024;No;A72401;B26557;42473253;C551000;YEM3
4500063948;160;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047646;20;16.02.2024;10.01.2024;No;A72401;B26557;42473253;C551000;YEM3
4500063948;170;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047646;30;16.02.2024;10.01.2024;No;A72401;B26557;42473253;C551000;YEM3
4500063948;180;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047646;40;16.02.2024;10.01.2024;No;A72401;B26557;42473253;C551000;YEM3
4500063948;90;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;10;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C340615;Y017
4500063948;190;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;20;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C340615;Y017
4500063948;80;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;30;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C340615;Y017
4500063948;70;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;40;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;60;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;50;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;50;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;60;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;40;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;70;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;30;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;80;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;20;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;90;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;10;20.08.2024;;No;M51710;A44167;42049945;C742500;YEM3
4500047684;100;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;200;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;110;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;210;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;120;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;220;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;130;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;230;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;140;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063948;240;20.08.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;150;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500050746;10;22.02.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;160;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500048708;10;21.02.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;170;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500049052;10;22.02.2024;;No;M51710;A44167;42049945;C743500;YEM3
4500047684;180;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500080757;10;12.02.2025;;No;M38877;A44167;42051172;C112005;YEM3
4500047684;190;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500085067;10;25.03.2025;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;200;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063975;10;12.08.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;210;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500061031;10;25.06.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;220;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500051867;10;20.03.2024;;No;M85771;A44167;42054046;C640500;YEM3
4500047684;230;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500066521;10;23.09.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;240;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500063164;10;28.06.2024;;No;M38877;B26557;42054046;C710500;YEM3
4500047684;250;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345610;Y017
4500061724;10;11.07.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;260;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500069467;10;05.11.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;270;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500066527;10;20.09.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;280;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500066528;10;20.09.2024;;No;M85771;A44167;42054046;C710500;YEM3
4500047684;290;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500068779;40;18.10.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;300;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500068779;30;18.10.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;310;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500068779;20;18.10.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;320;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500068779;50;18.10.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;330;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500068779;10;18.10.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;340;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500080755;10;12.02.2025;;No;M38877;A44167;42058289;C112005;YEM3
4500047684;350;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345615;Y017
4500071260;10;26.11.2024;;No;M90448;S64912;42071676;C750500;YEM3
4500047684;360;23.02.2024;08.03.2024;Yes;M89398;M84478;42474961;C345610;Y017
4500071260;20;26.11.2024;;No;M90448;S64912;42071676;C750500;YEM3
4500047685;10;08.02.2024;07.02.2024;No;K36046;P31195;42475625;C760500;YEM3
4500069953;10;06.11.2024;;No;M51710;A44167;42076040;C112005;YEM3
4500080759;10;12.02.2025;;No;M38877;A44167;42076040;C112005;YEM3
4500047695;10;23.02.2024;26.01.2024;Yes;M89398;M84478;42464031;C346100;YEM3
4500048179;10;15.02.2024;;No;K36046;S64912;42085103;C760500;YEM3
4500047696;10;19.02.2024;10.06.2024;Yes;T34642;M89399;42473744;C551000;YEM3
4500049613;10;28.02.2024;31.01.2024;No;K36046;S64912;42085103;C760500;YEM3
4500047696;20;19.02.2024;10.06.2024;Yes;T34642;M89399;42473744;C551000;YEM3
4500049787;10;28.02.2024;19.02.2024;No;K36046;S64912;42085103;C760500;YEM3
4500047696;30;19.02.2024;10.06.2024;Yes;T34642;M89399;42473744;C551000;YEM3
4500048336;10;19.02.2024;;No;K36046;S64912;42085103;C760500;YEM3
4500047726;10;14.02.2024;31.01.2024;No;K38175;S64912;42475420;C642000;YEM3
4500057183;10;28.03.2024;;No;P32881;M89399;42149558;C112505;YEM3
4500047737;10;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C601000;YEM3
4500048349;10;29.02.2024;16.02.2024;No;T34737;S64912;42185196;C903000;YEM3
4500047737;20;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C450500;YEM3
4500089662;10;08.04.2025;;No;M85771;A44167;42186065;C683000;YEM3
4500047737;30;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C601000;YEM3
4500054217;20;22.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047737;40;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C601000;YEM3
4500054217;10;22.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047737;50;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C601000;YEM3
4500054218;20;22.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047737;60;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C601000;YEM3
4500054218;10;22.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047737;70;29.03.2024;25.01.2024;Yes;M89398;M84478;42474266;C450500;YEM3
4500054215;10;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;10;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500054215;20;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;20;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500054214;10;27.03.2024;;No;M85711;A44167;42211267;C663500;YEM3
4500047740;30;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500054214;20;27.03.2024;;No;M85711;A44167;42211267;C663500;YEM3
4500047740;40;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500048670;10;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;50;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500048671;10;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;60;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500048673;10;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;70;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500048701;10;21.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;80;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500048672;10;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;90;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500051870;10;07.03.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;100;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500051870;20;07.03.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;110;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500051870;30;07.03.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;120;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500051870;40;07.03.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;130;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500055615;20;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047740;140;29.03.2024;25.01.2024;Yes;M89398;M84478;42471242;C530500;Y017
4500055615;10;20.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047742;10;29.03.2024;30.01.2024;Yes;M89398;M84478;42474074;C601000;Y017
4500055614;20;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;10;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C200500;Y017
4500055614;10;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;20;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C346100;Y017
4500055613;20;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;30;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C346100;Y017
4500055613;10;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;40;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C346100;Y017
4500055612;20;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;50;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C346100;Y017
4500055612;10;22.02.2024;;No;M51710;A44167;42211267;C663500;YEM3
4500047746;60;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C346100;Y017
4500055602;30;16.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047746;70;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C531500;Y017
4500055602;20;16.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047746;80;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C503000;Y017
4500055602;10;16.04.2024;;No;M85771;A44167;42211267;C663500;YEM3
4500047746;90;29.03.2024;30.01.2024;Yes;M89398;M84478;42472609;C503000;Y017
